#vistas pasos tiempo(s)
5 2 0.14
5 3 0.16
5 4 0.21
5 5 0.28
10 2 0.18
10 3 0.29
10 4 0.44
10 5 0.68
15 2 0.29
15 3 0.51
15 4 0.91
15 5 1.50
20 2 0.44
20 3 0.88
20 4 1.62
20 5 2.73
25 2 0.67
25 3 1.41
25 4 2.70
25 5 4.60
30 2 0.98
30 3 2.19
30 4 4.25
30 5 7.54
35 2 1.39
35 3 3.25
35 4 6.51
35 5 11.60
40 2 1.94
40 3 4.77
40 4 10.00
40 5 17.67
45 2 2.69
45 3 6.74
45 4 15.24
45 5 25.82
50 2 3.80
50 3 9.52
50 4 20.79
50 5 36.09
55 2 4.76
55 3 12.33
55 4 29.42
55 5 49.39
60 2 6.08
60 3 16.99
60 4 40.08
60 5 65.48
65 2 7.96
65 3 23.39
65 4 53.29
65 5 85.56
70 2 10.37
70 3 30.99
70 4 69.03
70 5 110.51
75 2 13.61
75 3 40.66
75 4 88.51
75 5 140.73
80 2 17.52
80 3 52.71
80 4 110.04
80 5 175.12
